run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.class_1_f1,metrics.false_negatives,metrics.true_positives,metrics.cv_std,metrics.class_1_recall,metrics.true_negatives,metrics.false_positives,metrics.class_0_recall,metrics.class_1_precision,metrics.cv_mean,metrics.class_0_f1,metrics.class_0_support,metrics.class_0_precision,metrics.training_time,metrics.class_1_support,metrics.accuracy,params.algorithm,params.weights,params.metric,params.n_neighbors,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.source.type,tags.python_version,tags.ram_gb,tags.processor,tags.runtime,tags.os_version,tags.cpu_count,tags.os_name,tags.mlflow.log-model.history
bec4c319b8b341318595d3c89ac5adb0,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/bec4c319b8b341318595d3c89ac5adb0/artifacts,2024-12-29 16:05:38.311000+00:00,2024-12-29 16:05:38.915000+00:00,,,,,,,,,,,,,,,,,,,,,fatemeh_m,compare_runs.py,debonair-panda-717,LOCAL,,,,,,,,
33d42df32cba415982563e02a2a31db7,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/33d42df32cba415982563e02a2a31db7/artifacts,2024-12-29 14:43:59.571000+00:00,2024-12-29 14:44:14.628000+00:00,0.8571428571428571,5.0,27.0,0.03680352269425142,0.84375,25.0,4.0,0.8620689655172413,0.8709677419354839,0.8179421768707483,0.847457627118644,29.0,0.8333333333333334,0.009421110153198242,32.0,0.8524590163934426,brute,distance,manhattan,7,fatemeh_m,model.py,bright-donkey-163,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:43:59,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""33d42df32cba415982563e02a2a31db7"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:44:00.110829"", ""model_uuid"": ""a6f018b89f8443258aa7236058515146"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
e500a064950940a99af5b387566056eb,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/e500a064950940a99af5b387566056eb/artifacts,2024-12-29 14:43:16.041000+00:00,2024-12-29 14:43:33.657000+00:00,0.7936507936507936,7.0,25.0,0.010062797409855126,0.78125,23.0,6.0,0.7931034482758621,0.8064516129032258,0.7024659863945579,0.7796610169491526,29.0,0.7666666666666667,0.010002374649047852,32.0,0.7868852459016393,auto,distance,chebyshev,7,fatemeh_m,model.py,orderly-squirrel-391,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:43:16,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""e500a064950940a99af5b387566056eb"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:43:16.595655"", ""model_uuid"": ""090a6abf47fd48a09fdec071ecb00fca"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
54ba761c3f284df0bffa9f9602d6f3af,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/54ba761c3f284df0bffa9f9602d6f3af/artifacts,2024-12-29 14:42:28.416000+00:00,2024-12-29 14:42:53.398000+00:00,0.8571428571428571,5.0,27.0,0.03680352269425142,0.84375,25.0,4.0,0.8620689655172413,0.8709677419354839,0.8179421768707483,0.847457627118644,29.0,0.8333333333333334,0.019158363342285156,32.0,0.8524590163934426,auto,distance,manhattan,7,fatemeh_m,model.py,unleashed-moose-299,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:42:28,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""54ba761c3f284df0bffa9f9602d6f3af"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:42:29.425956"", ""model_uuid"": ""53d7caed61f440efa94d588e4ef32168"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
0460ac7879db4ac783143e11624d20df,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/0460ac7879db4ac783143e11624d20df/artifacts,2024-12-29 14:41:30.170000+00:00,2024-12-29 14:41:44.814000+00:00,0.9032258064516129,4.0,28.0,0.033356319299447885,0.875,27.0,2.0,0.9310344827586207,0.9333333333333333,0.8016156462585033,0.9,29.0,0.8709677419354839,0.012154340744018555,32.0,0.9016393442622951,auto,distance,euclidean,7,fatemeh_m,model.py,orderly-owl-665,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:41:30,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""0460ac7879db4ac783143e11624d20df"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:41:30.967097"", ""model_uuid"": ""1129c32dabcb475f944685604f94aee1"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
47052ece17744fcbaf0bf5010244a6b0,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/47052ece17744fcbaf0bf5010244a6b0/artifacts,2024-12-29 14:40:48.186000+00:00,2024-12-29 14:41:07.346000+00:00,0.7868852459016393,8.0,24.0,0.018673825628858474,0.75,24.0,5.0,0.8275862068965517,0.8275862068965517,0.7107142857142857,0.7868852459016393,29.0,0.75,0.005341291427612305,32.0,0.7868852459016393,brute,uniform,chebyshev,7,fatemeh_m,model.py,abundant-cow-396,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:40:48,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""47052ece17744fcbaf0bf5010244a6b0"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:40:49.092197"", ""model_uuid"": ""2d3b09f3d32149c3a90bd8b8c00ba4da"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
5ed9c9b234d646d8ae40492889afa2cc,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/5ed9c9b234d646d8ae40492889afa2cc/artifacts,2024-12-29 14:40:13.940000+00:00,2024-12-29 14:40:29.926000+00:00,0.8571428571428571,5.0,27.0,0.039398012187659065,0.84375,25.0,4.0,0.8620689655172413,0.8709677419354839,0.8221088435374149,0.847457627118644,29.0,0.8333333333333334,0.006085634231567383,32.0,0.8524590163934426,kd_tree,uniform,manhattan,7,fatemeh_m,model.py,awesome-ram-746,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:40:13,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""5ed9c9b234d646d8ae40492889afa2cc"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:40:14.938107"", ""model_uuid"": ""152e3c3178ba456391826dd5c64617c6"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
ed1ed6bae43b454184e4f355928e100f,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/ed1ed6bae43b454184e4f355928e100f/artifacts,2024-12-29 14:39:21.396000+00:00,2024-12-29 14:39:36.999000+00:00,0.9206349206349206,3.0,29.0,0.033153888435383534,0.90625,27.0,2.0,0.9310344827586207,0.9354838709677419,0.80578231292517,0.9152542372881356,29.0,0.9,0.004309892654418945,32.0,0.9180327868852459,ball_tree,uniform,euclidean,7,fatemeh_m,model.py,amusing-turtle-480,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:39:21,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""ed1ed6bae43b454184e4f355928e100f"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:39:22.511657"", ""model_uuid"": ""5133a5c792d5411580afb3bffc6162de"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
6526ca246f7246bfb8d9f54ee3988e13,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/6526ca246f7246bfb8d9f54ee3988e13/artifacts,2024-12-29 14:38:45.451000+00:00,2024-12-29 14:39:00.012000+00:00,0.7741935483870968,8.0,24.0,0.010062797409855126,0.75,23.0,6.0,0.7931034482758621,0.8,0.7024659863945579,0.7666666666666667,29.0,0.7419354838709677,0.005986928939819336,32.0,0.7704918032786885,auto,uniform,chebyshev,7,fatemeh_m,model.py,receptive-owl-836,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:38:45,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""6526ca246f7246bfb8d9f54ee3988e13"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:38:46.444327"", ""model_uuid"": ""681560e2cd7040839eb408e0c449d1c9"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
c794e25ae9af4fa39599015fd32a0f8f,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/c794e25ae9af4fa39599015fd32a0f8f/artifacts,2024-12-29 14:37:55.877000+00:00,2024-12-29 14:38:23.175000+00:00,0.8571428571428571,5.0,27.0,0.039398012187659065,0.84375,25.0,4.0,0.8620689655172413,0.8709677419354839,0.8221088435374149,0.847457627118644,29.0,0.8333333333333334,0.0052263736724853516,32.0,0.8524590163934426,auto,uniform,manhattan,7,fatemeh_m,model.py,whimsical-lark-387,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:37:55,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""c794e25ae9af4fa39599015fd32a0f8f"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:37:57.021304"", ""model_uuid"": ""1dd9fcf3ad564f31a1cf4e78f66910ec"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
2179602da24f491b85d49372b0fe2bd1,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/2179602da24f491b85d49372b0fe2bd1/artifacts,2024-12-29 14:34:10.471000+00:00,2024-12-29 14:34:23.128000+00:00,0.9206349206349206,3.0,29.0,0.033153888435383534,0.90625,27.0,2.0,0.9310344827586207,0.9354838709677419,0.80578231292517,0.9152542372881356,29.0,0.9,0.008674383163452148,32.0,0.9180327868852459,auto,uniform,euclidean,7,fatemeh_m,model.py,worried-calf-716,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:34:10,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""2179602da24f491b85d49372b0fe2bd1"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:34:11.268767"", ""model_uuid"": ""2b22e5c7e90b464eae8e15d10eb3b4d5"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
d20dbcb8fbcb4e788f825f41e76a7eea,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/d20dbcb8fbcb4e788f825f41e76a7eea/artifacts,2024-12-29 14:33:25.586000+00:00,2024-12-29 14:33:46.036000+00:00,0.8,8.0,24.0,0.023494022366434216,0.75,25.0,4.0,0.8620689655172413,0.8571428571428571,0.6859693877551021,0.8064516129032258,29.0,0.7575757575757576,0.006953001022338867,32.0,0.8032786885245902,ball_tree,distance,chebyshev,5,fatemeh_m,model.py,bittersweet-kite-962,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:33:25,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""d20dbcb8fbcb4e788f825f41e76a7eea"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:33:26.545409"", ""model_uuid"": ""31c35cd498584fac87f3fc0c092c953b"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
5fdd811330ef4b2489ee9998e16d99c8,332425260785487175,FINISHED,mlflow-artifacts:/332425260785487175/5fdd811330ef4b2489ee9998e16d99c8/artifacts,2024-12-29 14:32:26.657000+00:00,2024-12-29 14:32:44.888000+00:00,0.8253968253968254,6.0,26.0,0.043515985106455685,0.8125,24.0,5.0,0.8275862068965517,0.8387096774193549,0.8301870748299318,0.8135593220338984,29.0,0.8,0.05249166488647461,32.0,0.819672131147541,kd_tree,distance,manhattan,5,fatemeh_m,model.py,sincere-cat-639,LOCAL,3.12.3,2.88,x86_64,2024-12-29 14:32:26,#52-Ubuntu SMP PREEMPT_DYNAMIC Thu Dec  5 13:09:44 UTC 2024,3,Linux,"[{""run_id"": ""5fdd811330ef4b2489ee9998e16d99c8"", ""artifact_path"": ""model"", ""utc_time_created"": ""2024-12-29 14:32:27.843253"", ""model_uuid"": ""f43e0ecba12346619888fb207977401a"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.3"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.2"", ""serialization_format"": ""cloudpickle"", ""code"": null}}}]"
